index,tag,label
43422,brookies,Brookies
43454,rochers-au-chocolat,Rochers au chocolat
43459,aliments-pour-aperitifs,Aliments-pour-aperitifs
43508,chocolate-filled-with-praline,Chocolate filled with praline
43510,filled-milk-chocolates,Filled milk chocolates
43516,cereal-chocolates,Cereal chocolates
43517,cereal-milk-chocolates,Cereal-milk-chocolates
43562,compotes-multifruits,compotes-multifruits
43582,nonnettes,Nonnettes
43583,nonnettes-a-la-framboise,Nonnettes à la framboise
43611,nouilles-royales,nouilles-royales
43636,canned-sliced-champignon-mushrooms,Canned sliced champignon mushrooms
43644,canned-drained-diced-mixed-vegetables,Canned-drained-diced-mixed-vegetables
43662,kebab-breads,Kebab breads
43701,canned-whole-champignon-mushrooms,Canned whole champignon mushrooms
43754,canned-brussels-sprouts,Canned Brussels sprouts
43774,sweet-peppers,Sweet peppers
43775,canned-peppers,Canned peppers
43780,canned-hearts-of-palm,Canned hearts of palm
43807,canned-spinachs,Canned spinachs
43818,canned-green-asparagus,Canned green asparagus
43828,canned-leeks,Canned leeks
43843,legumes-pour-couscous,legumes-pour-couscous
43850,shelled-chestnuts,Shelled chestnuts
43865,old-style-mustards,Old style mustards
44033,frozen-atlantic-salmon,Frozen-atlantic-salmon
44037,long-life-milk,Long-life-milk
44050,biscuits-fourres-au-lait-et-nappes-de-chocolat-au-lait,biscuits-fourres-au-lait-et-nappes-de-chocolat-au-lait
44058,dishes-with-scallops,Dishes with scallops
44059,st-jacques-shells,St. Jacques shells
44060,coquilles-saint-jacques-a-la-bretonne,coquilles-saint-jacques-a-la-bretonne
44062,plats-prepares-a-rechauffer-au-four-traditionnel,plats-prepares-a-rechauffer-au-four-traditionnel
44066,makis,Makis
44069,salmon-sushis,Salmon sushis
44070,shrimp-sushis,Shrimp sushis
44107,hommus,Hommus
44118,shrimps-tails,Shrimps tails
44134,wheat-groats,Wheat groats
44135,bulgur,Bulgur
44146,canned-mixed-fruit-in-syrup,Canned mixed fruit in syrup
44193,bonbons-a-la-menthe,bonbons-a-la-menthe
44206,snails,Snails
44207,snails-preparations,Snails preparations
44211,quartiers-de-pommes-de-terre-surgeles,Quartiers de pommes de terre surgelés
44219,frogs,Frogs
44220,frog-legs,Frog legs
44226,colins-d-alaska-a-la-parisienne,colins-d-alaska-a-la-parisienne
44236,frozen-aubergines,Frozen aubergines
44327,coco-white-beans,Coco white beans
44342,poires-conference,poires-conference
44353,calibre-115-150-g,calibre-115-150-g
44354,categorie-1,categorie-1
44355,jonagold,jonagold
44369,mousses-au-chocolat-au-lait,mousses-au-chocolat-au-lait
44374,plain-petit-suisse,Plain Petit-Suisse
44409,creme-fraiche-d-isigny,Crème Fraîche d'Isigny
44455,fromages-blancs-saveur-vanille,fromages-blancs-saveur-vanille
44472,coffee-desserts,Coffee desserts
44474,desserts-lactes-au-cafe,Desserts lactés au café
44475,liegeois-au-cafe,liegeois-au-cafe
44547,flavoured-bifidus-yogurts,Flavoured bifidus yogurts
44576,chicken-nems,Chicken nems
44577,alimentaire,alimentaire
44588,puff-pastries-with-ham-and-cheese,Puff pastries with ham and cheese
44618,provencal-type-tripes-with-tomatoes,Provencal-type tripes with tomatoes
44629,faux-filets,faux-filets
44682,pain-precuit-a-rechauffer,pain-precuit-a-rechauffer
44714,brioches-tressees-au-chocolat,brioches-tressees-au-chocolat
44766,lump-sugar,Lump sugar
44769,tartines,tartines
44772,queues-de-porc,queues-de-porc
44805,viandes-d-autruche-surgelee,viandes-d-autruche-surgelee
44828,choux-a-garnir,choux-a-garnir
44884,squid-and-spicy-tomato-sauce-pie,Squid and spicy tomato sauce pie
44942,fruit-mousses,Fruit mousses
44949,plateau-exotique,plateau-exotique
44950,levures,levures
44951,levures-boulangeres,levures-boulangeres
44952,levures-fraiches,levures-fraiches
44983,basa-fish,Basa-fish
45022,dairy-products,Dairy-products
45036,rice-crackers,Rice-crackers
45055,frozen-prawn-cutlets,Frozen-prawn-cutlets
45061,frozen-chicken,Frozen-chicken
45062,tabouleh-salad,Tabouleh-salad
45074,frozen-chinese-spring-roll-snacks,Frozen-chinese-spring-roll-snacks
45094,frozen-potato-products,Frozen-potato-products
45095,asian-cooking,Asian-cooking
45096,crushed-chilli-in-jar,Crushed-chilli-in-jar
45106,frozen-potato-fries,Frozen-potato-fries
45107,oven-fries,Oven-fries
45132,mayonaise,Mayonaise
45146,chicken-skewers,Chicken skewers
45187,brandy-snaps,Brandy-snaps
45232,filled-white-chocolates,Filled white chocolates
45239,strawberry-licorice,Strawberry-licorice
45242,mexican-sauces,Mexican-sauces
45257,easter-moulded-chocolate,Easter-moulded-chocolate
45277,passionfruit-pulp,Passionfruit-pulp
45308,cookie-aux-fruits-rouges-et-noisettes,cookie-aux-fruits-rouges-et-noisettes
45339,pitted-dates,Pitted dates
45362,pieds-de-porc,pieds-de-porc
45365,oreilles-de-porc,oreilles-de-porc
45386,gluten-free-sliced-breads,Gluten-free sliced breads
45416,camemberts-de-normandie,Camemberts de Normandie
45432,calf-liver,Calf liver
45435,lamb-liver,Lamb liver
45445,foies,foies
45462,fromage-a-pate-presse-cuite,fromage-a-pate-presse-cuite
45499,frankfurter-sausages,Frankfurter sausages
45530,saucisses-polonaises,saucisses-polonaises
45554,whole-wheat-penne-rigate,Whole-wheat-penne-rigate
45559,pastilles-sans-sucre,pastilles-sans-sucre
45664,preparation-pour-pain,preparation-pour-pain
45676,fromage-fondu-allege,fromage-fondu-allege
45686,champignons-eminces,champignons-eminces
45698,pain-complet-special,pain-complet-special
45704,rusk-with-eggs,Rusk with eggs
45722,non-gazeuse,non-gazeuse
45731,salade-de-thon-cocktail,salade-de-thon-cocktail
45739,fermenting-flours,Fermenting flours
45740,yaghourth,yaghourth
45745,yaghouth-sucre,yaghouth-sucre
45759,legume-pre-cuit,legume-pre-cuit
45777,olives-a-l-ail,olives-a-l-ail
45783,fromage-de-chevre-decongele-enrobe-de-lard-decongele,fromage-de-chevre-decongele-enrobe-de-lard-decongele
45786,sauce-quatre-fromages,sauce-quatre-fromages
45787,jambon-grille-au-four,jambon-grille-au-four
45811,mozzarella-sticks,Mozzarella sticks
45859,butter-biscuit-with-chocolate,Butter biscuit with chocolate
45865,mendiants-exotic,mendiants-exotic
45917,huile-pour-wok,huile-pour-wok
45950,aromatic-plants,Aromatic plants
45953,ground-dried-aromatic-plants,Ground dried aromatic plants
45954,mixtures-of-aromatic-plants,Mixtures of aromatic plants
45955,herbes-de-provence,Herbes de Provence
45965,gaufres-liegeoises,Plain Brussels-style soft waffle
45987,yaourts-maigres,yaourts-maigres
45991,couscous-aux-legumes-frais,couscous-aux-legumes-frais
45992,specialite-laitiere,specialite-laitiere
46011,baguette-au-beurre,baguette-au-beurre
46012,baguette-au-beurre-aux-fines-herbes,baguette-au-beurre-aux-fines-herbes
46013,petit-pain-au-froment,petit-pain-au-froment
46014,petit-pain-pret-a-cuire,petit-pain-pret-a-cuire
46072,brown-shrimp,Brown shrimp
46106,aiolis,Aiolis
46135,goudas-mi-vieux,Goudas mi-vieux
46136,chocolat-85,chocolat-85
46142,bread-white-from-wheat-flour-of-the-highest-grade-gost-26987-86,Bread white from wheat flour of the highest grade GOST 26987-86
46145,frozen-poultry,Frozen poultry
46183,soy-steak,Soy steak
46199,champignons-au-vinaigre,champignons-au-vinaigre
46206,chicken-sausages,Chicken sausages
46366,flavoured-syrups,Flavoured syrups
46367,raspberry-syrups,Raspberry syrups
46382,herbata-ziołowa,herbata-ziołowa
46505,ham-sausages,Ham sausages
46515,brown-sauces,Brown sauces
46528,meerrettichpaste,meerrettichpaste
46529,wasabipaste,wasabipaste
46530,würzpaste,würzpaste
46612,poultry-broth,Poultry broth
46616,produit-lacte,produit-lacte
46726,raw-red-kuri-squash,Raw-red-kuri-squash
46749,produs-din-carne-afumată,produs-din-carne-afumată
46789,pork-skewers,Pork skewers
46846,pork-liver,Pork liver
46847,cooked-pork-liver,Cooked pork liver
46873,kangaroo-fresh-meat,Kangaroo fresh meat
46894,raw-shrimps,Raw-shrimps
46908,alkoholfreie-getranke,Alkoholfreie-getranke
46909,getranke,Getranke
46910,multifruchtsafte,Multifruchtsafte
46956,elderberry-products,Elderberry products
47039,peach-yogurts,Peach yogurts
47223,hollandaise-sauce,Hollandaise sauce
47235,erdbeersauce,erdbeersauce
47276,brazil-nuts,Brazil nuts
47277,tomatenketchup,tomatenketchup
47369,vanillin-sugars,Vanillin sugars
47379,chai-teas,Chaï teas
47454,sesamstangen,sesamstangen
47467,kartoffelchips-ohne-glutamat-hefeextrakt,kartoffelchips-ohne-glutamat-hefeextrakt
47493,pflanzliche-lebensmittel-und-getranke,Pflanzliche-lebensmittel-und-getranke
47494,sauerrahm-und-zwiebel,Sauerrahm-und-zwiebel
47514,schaumküsse,schaumküsse
47520,kandierte-mandeln,kandierte-mandeln
47521,kandierte-nüsse,kandierte-nüsse
47522,schokolierte-mandeln,schokolierte-mandeln
47587,lingonberries,Lingonberries
47596,obstkonserven,obstkonserven
47637,dinkel-fruechte-muesli,dinkel-fruechte-muesli
47638,dinkel-schoko-musli,dinkel-schoko-musli
47640,wachsbrechbohnen,wachsbrechbohnen
47686,blutorange,blutorange
47709,dry-egg-pastas,Dry egg pastas
47712,durum-wheats,Durum wheats
47833,grated-mozzarella,Grated Mozzarella
48013,kartoffelpuffer,kartoffelpuffer
48034,leberkäse,leberkäse
48066,putenbrustfilet,putenbrustfilet
48100,gemüse-basierte-lebensmittel,gemüse-basierte-lebensmittel
48144,four-cheese-pizza,Four Cheese Pizza
48186,vegan,vegan
48254,caffee,caffee
48286,wurst-aufschnitt,wurst-aufschnitt
48298,waffelgebäck,waffelgebäck
48299,rote-bete-saft,rote-bete-saft
48369,mandelhörnchen,Mandelhörnchen
48371,kiełbasa-śląska,kiełbasa-śląska
48405,plats-a-base-de-mollusques,plats-a-base-de-mollusques
48421,red-bell-peppers,Red bell peppers
48426,dry-spicy-pork-sausage-with-red-pepper,Dry spicy pork sausage with red pepper
48469,old-sheep-cheese,Old sheep cheese
48497,havermout,havermout
48528,moules-de-bouchot,Moules de Bouchot
48532,oeufs-de-truite,oeufs-de-truite
48541,pates-de-jambons,pates-de-jambons
48569,bonbons-de-chocolat-a-la-nougatine,bonbons-de-chocolat-a-la-nougatine
48581,dark-chocolate-with-caramel,Dark chocolate with caramel
48613,mouline,mouline
48614,mouline-de-legumes,mouline-de-legumes
48615,potage,potage
48626,dehydrated-vegetable-soups,Dehydrated vegetable soups
48627,soupe-passee,soupe-passee
48635,dehydrated-sauces,Dehydrated sauces
48646,bechamel-sauces,Béchamel sauces
48693,cream-of-asparagus-soups,Cream of asparagus soups
